,disaster,disaster_type,date,lgt,lat,severity,highest_severity,moment,file
1026,socal-fire,fire,2018-11-14 18:42:58,-118.8905545651509,34.12326800232428,1,no-damage,post,socal-fire_00000337_post_disaster.json
1027,socal-fire,fire,2018-11-14 18:42:58,-118.7414518427553,34.14422463843785,1,no-damage,post,socal-fire_00000864_post_disaster.json
1028,hurricane-florence,flooding,2018-04-06 15:49:36,-77.85499061378523,34.56828534469611,1,Unknown,pre,hurricane-florence_00000156_pre_disaster.json
1029,santa-rosa-wildfire,fire,2017-10-11 19:19:41,,,1,Unknown,post,santa-rosa-wildfire_00000192_post_disaster.json
1030,midwest-flooding,flooding,2019-05-30 17:35:22,-96.24023006969203,36.1560884213817,1,no-damage,post,midwest-flooding_00000358_post_disaster.json
1031,hurricane-florence,flooding,2018-09-20 16:04:41,-77.96510055690722,34.74506798509074,1,no-damage,post,hurricane-florence_00000392_post_disaster.json
1032,hurricane-harvey,flooding,2017-08-31 17:38:50,-95.54485895054323,29.7504328937871,25,major-damage,post,hurricane-harvey_00000373_post_disaster.json
1033,hurricane-florence,flooding,2018-09-20 16:04:41,-77.93870359701722,34.6739299816388,1,no-damage,post,hurricane-florence_00000278_post_disaster.json
1034,midwest-flooding,flooding,2019-01-26 17:16:23,-96.31743458455409,36.27114209777484,1,Unknown,pre,midwest-flooding_00000141_pre_disaster.json
1035,midwest-flooding,flooding,2019-01-26 17:16:23,-96.22207997697123,36.14783886026951,1,Unknown,pre,midwest-flooding_00000366_pre_disaster.json
1036,socal-fire,fire,2018-11-14 18:42:58,-118.8776540986979,34.13019648501405,1,no-damage,post,socal-fire_00000093_post_disaster.json
1037,hurricane-michael,wind,2018-10-13 16:48:15,-85.63082685458927,30.23082728162423,5,destroyed,post,hurricane-michael_00000094_post_disaster.json
1038,hurricane-florence,flooding,2018-04-06 15:49:36,-77.92941087871115,34.56915307029489,1,Unknown,pre,hurricane-florence_00000066_pre_disaster.json
1039,socal-fire,fire,2018-11-14 18:42:58,-118.7572804664159,34.10603536917866,37,destroyed,post,socal-fire_00000987_post_disaster.json
1040,hurricane-florence,flooding,2018-04-06 15:49:36,-77.8976819040408,34.56109982620752,1,Unknown,pre,hurricane-florence_00000126_pre_disaster.json
1041,socal-fire,fire,2018-10-23 18:51:02,-118.7513106363723,34.10667090035219,1,Unknown,pre,socal-fire_00001013_pre_disaster.json
1042,santa-rosa-wildfire,fire,2017-10-11 19:19:41,-122.6791555273808,38.55912041824894,30,destroyed,post,santa-rosa-wildfire_00000259_post_disaster.json
1043,socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00000706_post_disaster.json
1044,palu-tsunami,tsunami,2017-01-24 02:18:34,119.8410494699377,-0.8817669901559404,1,Unknown,pre,palu-tsunami_00000066_pre_disaster.json
1045,hurricane-harvey,flooding,2017-02-16 17:11:21,-95.46137872278081,29.76134687580962,1,Unknown,pre,hurricane-harvey_00000002_pre_disaster.json
1046,midwest-flooding,flooding,2019-01-26 17:16:23,-96.31985760390823,36.24993474773793,1,Unknown,pre,midwest-flooding_00000161_pre_disaster.json
1047,socal-fire,fire,2018-11-14 18:42:58,-118.7166351371549,34.08786671513748,1,no-damage,post,socal-fire_00001354_post_disaster.json
1048,mexico-earthquake,earthquake,2017-06-15 17:16:42,-99.22574841622254,19.37317331743717,1,Unknown,pre,mexico-earthquake_00000083_pre_disaster.json
1049,hurricane-michael,wind,2018-10-13 16:48:15,-85.63482847635294,30.16796852876944,54,destroyed,post,hurricane-michael_00000249_post_disaster.json
1050,socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00001130_post_disaster.json
1051,hurricane-michael,wind,2017-11-29 16:28:19,-85.63507259865095,30.14708700678051,1,Unknown,pre,hurricane-michael_00000285_pre_disaster.json
1052,hurricane-florence,flooding,2018-04-06 15:49:36,-77.95158657189286,34.79244975791043,1,Unknown,pre,hurricane-florence_00000474_pre_disaster.json
1053,hurricane-harvey,flooding,2017-08-31 17:38:50,-95.62703771582254,29.62269504396902,1,no-damage,post,hurricane-harvey_00000080_post_disaster.json
1054,hurricane-florence,flooding,2018-09-18 16:32:47,-78.98315902197396,33.62922546157375,1,no-damage,post,hurricane-florence_00000015_post_disaster.json
1055,hurricane-michael,wind,2017-10-05 16:51:27,-85.68103764546012,30.17447736009094,1,Unknown,pre,hurricane-michael_00000404_pre_disaster.json
1056,palu-tsunami,tsunami,2018-10-01 02:26:02,119.8848157290375,-0.8555685669146932,1,no-damage,post,palu-tsunami_00000174_post_disaster.json
1057,hurricane-harvey,flooding,2017-08-31 17:38:50,-95.63509630826252,29.52153343225564,26,major-damage,post,hurricane-harvey_00000040_post_disaster.json
1058,santa-rosa-wildfire,fire,2017-10-11 19:19:41,-122.7360030420793,38.43831719385958,1,no-damage,post,santa-rosa-wildfire_00000177_post_disaster.json
1059,midwest-flooding,flooding,2019-01-26 17:16:23,-96.3171097424506,36.27286329741455,1,Unknown,pre,midwest-flooding_00000183_pre_disaster.json
1060,hurricane-michael,wind,2017-10-05 16:51:27,-85.76201044770087,30.19617389663683,1,Unknown,pre,hurricane-michael_00000492_pre_disaster.json
1061,hurricane-michael,wind,2018-10-13 16:48:15,-85.62350196746844,30.31385047723365,28,destroyed,post,hurricane-michael_00000331_post_disaster.json
1062,socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00000421_post_disaster.json
1063,santa-rosa-wildfire,fire,2017-06-21 19:09:01,-122.7196069690183,38.5047204510001,1,Unknown,pre,santa-rosa-wildfire_00000223_pre_disaster.json
1064,palu-tsunami,tsunami,2018-10-01 02:26:02,119.8819273035957,-0.8461316638368789,315,destroyed,post,palu-tsunami_00000112_post_disaster.json
1065,santa-rosa-wildfire,fire,2017-10-11 19:19:41,-122.6740909445826,38.5191567089364,52,destroyed,post,santa-rosa-wildfire_00000324_post_disaster.json
1066,hurricane-florence,flooding,2018-04-06 15:49:36,-77.88763136667939,34.7901139219424,1,Unknown,pre,hurricane-florence_00000461_pre_disaster.json
1067,hurricane-harvey,flooding,2017-02-16 17:11:58,-95.62961447656951,29.74860175806585,1,Unknown,pre,hurricane-harvey_00000220_pre_disaster.json
1068,midwest-flooding,flooding,2019-05-30 17:35:22,-96.20905051980243,36.17361677769166,1,no-damage,post,midwest-flooding_00000345_post_disaster.json
1069,hurricane-michael,wind,2018-10-13 16:48:15,-85.66377056925818,30.24111456304142,28,major-damage,post,hurricane-michael_00000357_post_disaster.json
1070,hurricane-harvey,flooding,2017-08-31 17:38:50,-95.5993467500779,29.53129472000304,3,major-damage,post,hurricane-harvey_00000323_post_disaster.json
1071,midwest-flooding,flooding,2019-01-26 17:16:23,-96.30431969653277,36.27347058373882,1,Unknown,pre,midwest-flooding_00000190_pre_disaster.json
1072,hurricane-florence,flooding,2018-04-06 15:49:36,-77.98598441802018,34.70356049370258,1,Unknown,pre,hurricane-florence_00000308_pre_disaster.json
1073,hurricane-harvey,flooding,2017-02-16 17:11:58,-95.67469908035547,29.82753298713588,1,Unknown,pre,hurricane-harvey_00000113_pre_disaster.json
1074,hurricane-michael,wind,2017-11-29 16:28:19,-85.65405745762978,30.29449821907716,1,Unknown,pre,hurricane-michael_00000312_pre_disaster.json
1075,hurricane-harvey,flooding,2017-02-16 17:11:58,-95.55711126819958,29.76601553017908,1,Unknown,pre,hurricane-harvey_00000434_pre_disaster.json
1076,hurricane-florence,flooding,2018-04-06 15:49:36,-77.99594446232545,34.69218483697395,1,Unknown,pre,hurricane-florence_00000331_pre_disaster.json
1077,hurricane-harvey,flooding,2017-08-31 17:38:50,-95.63949920637108,29.74464073073993,1,no-damage,post,hurricane-harvey_00000170_post_disaster.json
1078,hurricane-michael,wind,2018-10-13 16:48:15,-85.68364696103356,30.22472451800568,6,major-damage,post,hurricane-michael_00000389_post_disaster.json
1079,santa-rosa-wildfire,fire,2017-10-11 19:19:41,-122.6740319535915,38.4384266425967,1,no-damage,post,santa-rosa-wildfire_00000371_post_disaster.json
1080,socal-fire,fire,2018-10-23 18:51:02,,,1,Unknown,pre,socal-fire_00001073_pre_disaster.json
1081,socal-fire,fire,2018-11-14 18:42:58,-118.8011977939694,34.09563712265716,75,destroyed,post,socal-fire_00000913_post_disaster.json
1082,palu-tsunami,tsunami,2018-10-01 02:26:02,119.808628883337,-0.807083586307362,24,destroyed,post,palu-tsunami_00000111_post_disaster.json
1083,socal-fire,fire,2018-10-23 18:50:43,,,1,Unknown,pre,socal-fire_00001339_pre_disaster.json
1084,hurricane-michael,wind,2017-11-29 16:28:19,-85.61348697780687,30.28792621350771,1,Unknown,pre,hurricane-michael_00000344_pre_disaster.json
1085,hurricane-florence,flooding,2018-04-06 15:49:36,-77.9974973376538,34.63317551818947,1,Unknown,pre,hurricane-florence_00000338_pre_disaster.json
1086,guatemala-volcano,volcano,2018-02-05 17:10:18,-90.8154467949004,14.39086318334907,1,Unknown,pre,guatemala-volcano_00000000_pre_disaster.json
1087,hurricane-florence,flooding,2018-09-20 16:04:41,,,1,Unknown,post,hurricane-florence_00000221_post_disaster.json
1088,santa-rosa-wildfire,fire,2017-05-21 19:19:19,-122.6640805747899,38.53928575260918,1,Unknown,pre,santa-rosa-wildfire_00000299_pre_disaster.json
1089,hurricane-florence,flooding,2018-04-06 15:49:36,-77.85338556153519,34.77508174863846,1,Unknown,pre,hurricane-florence_00000504_pre_disaster.json
1090,hurricane-florence,flooding,2018-09-20 16:04:41,-77.8710948280667,34.61594948000186,3,major-damage,post,hurricane-florence_00000101_post_disaster.json
1091,santa-rosa-wildfire,fire,2017-05-21 19:19:19,-122.6643062456387,38.53014188066583,1,Unknown,pre,santa-rosa-wildfire_00000338_pre_disaster.json
1092,midwest-flooding,flooding,2019-01-26 17:16:23,-96.37731552668791,36.12502013912738,1,Unknown,pre,midwest-flooding_00000267_pre_disaster.json
1093,santa-rosa-wildfire,fire,2017-10-11 19:19:41,-122.7001406483769,38.48783832614943,226,destroyed,post,santa-rosa-wildfire_00000049_post_disaster.json
1094,midwest-flooding,flooding,2019-05-30 17:35:04,-96.38246424753315,36.13249380109124,1,no-damage,post,midwest-flooding_00000313_post_disaster.json
1095,socal-fire,fire,2018-11-14 18:42:58,-118.8099449459576,34.02149489104997,10,destroyed,post,socal-fire_00000996_post_disaster.json
1096,socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00000236_post_disaster.json
1097,midwest-flooding,flooding,2019-05-30 17:35:04,-96.37667072524553,36.13249897088873,1,no-damage,post,midwest-flooding_00000273_post_disaster.json
1098,hurricane-michael,wind,2017-10-05 16:51:27,-85.7686160636081,30.17317227177056,1,Unknown,pre,hurricane-michael_00000524_pre_disaster.json
1099,hurricane-michael,wind,2018-10-13 16:48:15,-85.62128433848312,30.32213545155076,13,major-damage,post,hurricane-michael_00000328_post_disaster.json
1100,socal-fire,fire,2018-10-23 18:51:02,,,1,Unknown,pre,socal-fire_00000626_pre_disaster.json
1101,hurricane-harvey,flooding,2017-08-31 17:38:50,-95.59719061515072,29.84705415897908,245,major-damage,post,hurricane-harvey_00000507_post_disaster.json
1102,socal-fire,fire,2018-10-23 18:51:02,-118.8697254414985,34.09223783552715,1,Unknown,pre,socal-fire_00000124_pre_disaster.json
1103,hurricane-michael,wind,2018-10-13 16:48:15,,,1,Unknown,post,hurricane-michael_00000379_post_disaster.json
1104,santa-rosa-wildfire,fire,2017-10-11 19:19:41,-122.6425003809352,38.54077553613396,40,destroyed,post,santa-rosa-wildfire_00000306_post_disaster.json
1105,midwest-flooding,flooding,2019-05-30 17:35:04,,,1,Unknown,post,midwest-flooding_00000212_post_disaster.json
1106,hurricane-florence,flooding,2018-09-20 16:04:41,-77.9955584304816,34.73394348517962,6,destroyed,post,hurricane-florence_00000374_post_disaster.json
1107,socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00000502_post_disaster.json
1108,socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00000709_post_disaster.json
1109,socal-fire,fire,2018-10-23 18:50:43,-118.7192799924957,34.06241009694293,1,Unknown,pre,socal-fire_00001227_pre_disaster.json
1110,hurricane-florence,flooding,2018-09-20 16:04:41,-77.9211252939763,34.88968713358469,1,no-damage,post,hurricane-florence_00000515_post_disaster.json
1111,hurricane-michael,wind,2018-10-13 16:48:15,-85.70332740620997,30.1801815543702,29,major-damage,post,hurricane-michael_00000462_post_disaster.json
1112,socal-fire,fire,2018-10-23 18:50:43,,,1,Unknown,pre,socal-fire_00001319_pre_disaster.json
1113,socal-fire,fire,2018-10-23 18:51:02,-118.8189919356059,34.09357844642955,1,Unknown,pre,socal-fire_00000874_pre_disaster.json
1114,hurricane-florence,flooding,2018-09-20 16:04:41,-77.9151357004519,34.77636019432041,133,major-damage,post,hurricane-florence_00000485_post_disaster.json
1115,socal-fire,fire,2018-10-23 18:51:21,,,1,Unknown,pre,socal-fire_00000624_pre_disaster.json
1116,santa-rosa-wildfire,fire,2017-06-21 19:09:01,-122.7308180651334,38.5149352425706,1,Unknown,pre,santa-rosa-wildfire_00000148_pre_disaster.json
1117,hurricane-florence,flooding,2018-09-20 16:04:41,-77.95666480718484,34.68351940865565,1,no-damage,post,hurricane-florence_00000226_post_disaster.json
1118,midwest-flooding,flooding,2019-05-30 17:35:04,-96.37118682105739,36.11977995086882,1,no-damage,post,midwest-flooding_00000430_post_disaster.json
1119,hurricane-matthew,wind,2016-10-10 16:04:56,-74.10880367406271,18.5728940359113,35,destroyed,post,hurricane-matthew_00000256_post_disaster.json
1120,hurricane-michael,wind,2018-10-13 16:48:15,-85.64421469742267,30.20288764168039,10,major-damage,post,hurricane-michael_00000166_post_disaster.json
1121,santa-rosa-wildfire,fire,2017-05-21 19:19:19,-122.6899018604378,38.48807326124481,1,Unknown,pre,santa-rosa-wildfire_00000344_pre_disaster.json
1122,midwest-flooding,flooding,2019-05-30 17:35:04,-96.33845628837531,36.20277725054176,6,destroyed,post,midwest-flooding_00000247_post_disaster.json
1123,hurricane-michael,wind,2018-10-13 16:48:15,-85.61380578341173,30.23297110761844,24,destroyed,post,hurricane-michael_00000118_post_disaster.json
1124,hurricane-michael,wind,2018-10-13 16:48:15,-85.65690905064346,30.22249272843448,29,destroyed,post,hurricane-michael_00000060_post_disaster.json
1125,hurricane-florence,flooding,2018-09-20 16:04:41,-77.8995544335797,34.65293000614339,7,major-damage,post,hurricane-florence_00000210_post_disaster.json
1126,hurricane-harvey,flooding,2017-08-31 17:38:50,-95.66910339996006,29.82133157153107,19,major-damage,post,hurricane-harvey_00000144_post_disaster.json
1127,hurricane-michael,wind,2018-10-13 16:48:15,-85.65853929582947,30.16946589486533,31,destroyed,post,hurricane-michael_00000214_post_disaster.json
1128,hurricane-matthew,wind,2016-10-01 15:29:45,-73.7438867701927,18.21834048158964,35,major-damage,post,hurricane-matthew_00000040_post_disaster.json
1129,hurricane-michael,wind,2017-11-29 16:28:19,-85.63086963908026,30.21636742926975,1,Unknown,pre,hurricane-michael_00000096_pre_disaster.json
1130,hurricane-florence,flooding,2018-04-06 15:49:36,-77.87109435701615,34.61580645471842,1,Unknown,pre,hurricane-florence_00000101_pre_disaster.json
1131,hurricane-michael,wind,2018-10-13 16:48:15,-85.65992030044279,30.28994326969954,8,major-damage,post,hurricane-michael_00000345_post_disaster.json
1132,hurricane-florence,flooding,2018-09-20 16:04:41,-77.92687491885697,34.60015510131566,1,no-damage,post,hurricane-florence_00000118_post_disaster.json
1133,hurricane-matthew,wind,2013-01-05 16:02:21,-73.73858507316278,18.21778618071588,1,Unknown,pre,hurricane-matthew_00000003_pre_disaster.json
1134,hurricane-michael,wind,2017-10-05 16:51:27,-85.68364696103409,30.22472451800586,1,Unknown,pre,hurricane-michael_00000389_pre_disaster.json
1135,hurricane-michael,wind,2018-10-13 16:48:15,-85.7653494230319,30.19796158235035,1,no-damage,post,hurricane-michael_00000537_post_disaster.json
1136,socal-fire,fire,2018-11-14 18:42:58,-118.8710062524101,34.07360813096437,7,destroyed,post,socal-fire_00000434_post_disaster.json
1137,hurricane-matthew,wind,2013-06-09 15:51:17,-74.15183317563256,18.5732742526959,1,Unknown,pre,hurricane-matthew_00000207_pre_disaster.json
1138,santa-rosa-wildfire,fire,2017-06-21 19:09:01,-122.782513788151,38.51342650200806,1,Unknown,pre,santa-rosa-wildfire_00000180_pre_disaster.json
1139,socal-fire,fire,2018-10-23 18:51:02,-118.8912049314272,34.12826327319576,1,Unknown,pre,socal-fire_00000072_pre_disaster.json
1140,santa-rosa-wildfire,fire,2017-05-21 19:19:19,-122.6687776192213,38.49635903867839,1,Unknown,pre,santa-rosa-wildfire_00000345_pre_disaster.json
1141,hurricane-florence,flooding,2018-09-20 16:04:41,-77.89454157463732,34.60673261756912,1,no-damage,post,hurricane-florence_00000060_post_disaster.json
1142,hurricane-florence,flooding,2018-04-06 15:49:36,-77.8710979341804,34.55474845991727,1,Unknown,pre,hurricane-florence_00000195_pre_disaster.json
1143,hurricane-florence,flooding,2018-09-20 16:04:41,-77.95201981651147,34.68537528731451,1,no-damage,post,hurricane-florence_00000231_post_disaster.json
1144,palu-tsunami,tsunami,2018-10-01 02:26:02,119.8819774610369,-0.8598711505880822,1,no-damage,post,palu-tsunami_00000076_post_disaster.json
1145,midwest-flooding,flooding,2019-01-26 17:17:36,-92.32155678287113,34.72484182919352,1,Unknown,pre,midwest-flooding_00000061_pre_disaster.json
1146,santa-rosa-wildfire,fire,2017-10-11 19:19:41,-122.7569848541592,38.47138392384294,122,destroyed,post,santa-rosa-wildfire_00000138_post_disaster.json
1147,hurricane-harvey,flooding,2017-02-16 17:11:58,-95.63459709149862,29.96048050302451,1,Unknown,pre,hurricane-harvey_00000255_pre_disaster.json
1148,palu-tsunami,tsunami,2018-10-01 02:26:02,119.8773738558958,-0.873822522753868,1,no-damage,post,palu-tsunami_00000123_post_disaster.json
1149,hurricane-harvey,flooding,2017-08-31 17:38:50,-95.47342715749163,29.7738933166335,35,major-damage,post,hurricane-harvey_00000007_post_disaster.json
1150,socal-fire,fire,2018-10-23 18:50:43,,,1,Unknown,pre,socal-fire_00001195_pre_disaster.json
1151,santa-rosa-wildfire,fire,2017-10-11 19:19:41,-122.7569711862265,38.47545561970239,211,destroyed,post,santa-rosa-wildfire_00000058_post_disaster.json
1152,hurricane-florence,flooding,2018-09-20 16:04:41,-77.93427184287465,34.73972631415731,13,major-damage,post,hurricane-florence_00000490_post_disaster.json
1153,hurricane-michael,wind,2017-11-29 16:28:19,-85.62408286382762,30.22504701409999,1,Unknown,pre,hurricane-michael_00000110_pre_disaster.json
1154,midwest-flooding,flooding,2019-01-26 17:17:36,-92.3626265587921,34.77537528734413,1,Unknown,pre,midwest-flooding_00000023_pre_disaster.json
1155,hurricane-matthew,wind,2016-10-10 16:04:56,-74.13902695525002,18.57458766038354,38,destroyed,post,hurricane-matthew_00000222_post_disaster.json
1156,guatemala-volcano,volcano,2018-06-22 16:55:40,-90.82669343395848,14.43876203366674,1,no-damage,post,guatemala-volcano_00000007_post_disaster.json
1157,palu-tsunami,tsunami,2016-10-25 02:26:09,119.8104904759329,-0.818692940181663,1,Unknown,pre,palu-tsunami_00000107_pre_disaster.json
1158,santa-rosa-wildfire,fire,2017-10-11 19:19:41,-122.7781071983147,38.53095819789104,1,no-damage,post,santa-rosa-wildfire_00000022_post_disaster.json
1159,socal-fire,fire,2018-10-23 18:51:02,,,1,Unknown,pre,socal-fire_00001331_pre_disaster.json
1160,hurricane-michael,wind,2017-11-29 16:28:19,-85.64752777449972,30.19752354869271,1,Unknown,pre,hurricane-michael_00000044_pre_disaster.json
1161,mexico-earthquake,earthquake,2017-09-20 17:46:11,-99.20167672231656,19.4104246594622,1,no-damage,post,mexico-earthquake_00000031_post_disaster.json
1162,hurricane-michael,wind,2018-10-13 16:48:15,-85.75293361867213,30.19641752914483,3,minor-damage,post,hurricane-michael_00000543_post_disaster.json
1163,hurricane-harvey,flooding,2017-02-16 17:11:58,-95.59090631995508,29.75677031146322,1,Unknown,pre,hurricane-harvey_00000419_pre_disaster.json
1164,hurricane-florence,flooding,2018-04-06 15:49:36,-77.94990717536538,34.63689734063691,1,Unknown,pre,hurricane-florence_00000275_pre_disaster.json
1165,socal-fire,fire,2018-11-14 18:42:58,-118.7875624845246,34.10923796577728,1,no-damage,post,socal-fire_00000916_post_disaster.json
1166,socal-fire,fire,2018-10-23 18:51:21,,,1,Unknown,pre,socal-fire_00000410_pre_disaster.json
1167,hurricane-michael,wind,2018-10-13 16:48:15,,,1,Unknown,post,hurricane-michael_00000029_post_disaster.json
1168,hurricane-matthew,wind,2013-06-09 15:51:17,-74.11164107552457,18.55173530018072,1,Unknown,pre,hurricane-matthew_00000276_pre_disaster.json
1169,socal-fire,fire,2018-10-23 18:51:02,,,1,Unknown,pre,socal-fire_00001286_pre_disaster.json
1170,hurricane-michael,wind,2017-11-29 16:28:19,-85.61501903528462,30.24953511781331,1,Unknown,pre,hurricane-michael_00000355_pre_disaster.json
1171,socal-fire,fire,2018-10-23 18:51:02,,,1,Unknown,pre,socal-fire_00000311_pre_disaster.json
1172,hurricane-michael,wind,2017-11-29 16:28:19,-85.62397285949953,30.28911355945807,1,Unknown,pre,hurricane-michael_00000356_pre_disaster.json
1173,socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00001381_post_disaster.json
1174,socal-fire,fire,2018-10-23 18:51:21,-118.9200585117399,34.08550500756952,1,Unknown,pre,socal-fire_00000420_pre_disaster.json
1175,socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00000435_post_disaster.json
1176,hurricane-harvey,flooding,2017-08-31 17:38:50,-95.61662875557343,29.85312315999525,421,major-damage,post,hurricane-harvey_00000502_post_disaster.json
1177,socal-fire,fire,2018-11-14 18:42:58,-118.7938361619902,34.11095924888502,67,destroyed,post,socal-fire_00000657_post_disaster.json
1178,santa-rosa-wildfire,fire,2017-05-21 19:19:19,-122.6769732265739,38.51340599196794,1,Unknown,pre,santa-rosa-wildfire_00000314_pre_disaster.json
1179,socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00001123_post_disaster.json
1180,socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00000710_post_disaster.json
1181,hurricane-harvey,flooding,2017-02-16 17:11:58,-95.52255420344335,29.74388925846384,1,Unknown,pre,hurricane-harvey_00000486_pre_disaster.json
1182,socal-fire,fire,2018-11-14 18:42:58,-118.7927870736916,34.08161215107828,1,un-classified,post,socal-fire_00001177_post_disaster.json
1183,santa-rosa-wildfire,fire,2017-10-11 19:19:41,-122.7412389743598,38.50173441088032,120,destroyed,post,santa-rosa-wildfire_00000205_post_disaster.json
1184,mexico-earthquake,earthquake,2017-09-20 17:46:11,-99.22574841622254,19.37317331743716,1,no-damage,post,mexico-earthquake_00000083_post_disaster.json
1185,midwest-flooding,flooding,2019-05-30 17:35:22,-96.21380660177319,36.33474059216107,2,minor-damage,post,midwest-flooding_00000103_post_disaster.json
1186,palu-tsunami,tsunami,2017-01-24 02:18:34,119.8762952502053,-0.800142047642822,1,Unknown,pre,palu-tsunami_00000047_pre_disaster.json
1187,hurricane-michael,wind,2018-10-13 16:48:15,-85.63919778638798,30.20768552729437,14,destroyed,post,hurricane-michael_00000067_post_disaster.json
1188,socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00001315_post_disaster.json
1189,socal-fire,fire,2018-11-14 18:42:58,-118.8918142892813,34.06717995336442,88,destroyed,post,socal-fire_00000360_post_disaster.json
1190,socal-fire,fire,2018-10-23 18:51:02,,,1,Unknown,pre,socal-fire_00000534_pre_disaster.json
1191,hurricane-florence,flooding,2018-09-20 16:04:41,-77.89281006866351,34.60432939794737,1,no-damage,post,hurricane-florence_00000020_post_disaster.json
1192,hurricane-harvey,flooding,2017-08-31 17:38:50,-95.57273292626952,29.52254550589015,13,destroyed,post,hurricane-harvey_00000221_post_disaster.json
1193,midwest-flooding,flooding,2019-01-26 17:16:23,-96.31353977696112,35.95310362331059,1,Unknown,pre,midwest-flooding_00000418_pre_disaster.json
1194,socal-fire,fire,2018-10-23 18:50:43,-118.7232767732192,34.04683230891361,1,Unknown,pre,socal-fire_00001317_pre_disaster.json
1195,socal-fire,fire,2018-10-23 18:51:02,,,1,Unknown,pre,socal-fire_00000386_pre_disaster.json
1196,hurricane-michael,wind,2018-10-13 16:48:15,-85.65985127425522,30.29289029464712,1,no-damage,post,hurricane-michael_00000305_post_disaster.json
1197,socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00000822_post_disaster.json
1198,palu-tsunami,tsunami,2018-10-01 02:26:02,119.9167154273217,-0.9434394407277541,428,destroyed,post,palu-tsunami_00000167_post_disaster.json
1199,hurricane-michael,wind,2017-11-29 16:28:19,-85.64401719609651,30.10114492441609,1,Unknown,pre,hurricane-michael_00000001_pre_disaster.json
1200,socal-fire,fire,2018-11-14 18:42:58,-118.8298643010135,34.02147092493312,1,no-damage,post,socal-fire_00000644_post_disaster.json
1201,socal-fire,fire,2018-11-14 18:42:58,-118.7382970893291,34.16412533113543,4,destroyed,post,socal-fire_00001052_post_disaster.json
1202,hurricane-matthew,wind,2016-10-10 16:04:56,-74.09736821692066,18.57895721141229,67,destroyed,post,hurricane-matthew_00000197_post_disaster.json
1203,hurricane-matthew,wind,2016-10-11 15:59:14,-74.14958505478883,18.64449287416558,1,un-classified,post,hurricane-matthew_00000319_post_disaster.json
1204,socal-fire,fire,2018-10-23 18:51:21,-118.9231844423868,34.09364939150647,1,Unknown,pre,socal-fire_00000462_pre_disaster.json
1205,socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00000624_post_disaster.json
1206,hurricane-matthew,wind,2016-10-01 15:29:45,-73.74878667948158,18.19336382653701,465,major-damage,post,hurricane-matthew_00000152_post_disaster.json
1207,socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00001122_post_disaster.json
1208,hurricane-harvey,flooding,2017-02-16 17:11:58,-95.62703771580104,29.62269504397918,1,Unknown,pre,hurricane-harvey_00000080_pre_disaster.json
1209,hurricane-michael,wind,2017-10-05 16:51:27,-85.70442370198063,30.1779714605078,1,Unknown,pre,hurricane-michael_00000509_pre_disaster.json
1210,santa-rosa-wildfire,fire,2017-05-21 19:19:19,-122.6637464125876,38.53044342021755,1,Unknown,pre,santa-rosa-wildfire_00000341_pre_disaster.json
1211,hurricane-matthew,wind,2016-10-11 15:59:14,-74.1077661188891,18.63549194101289,28,destroyed,post,hurricane-matthew_00000310_post_disaster.json
1212,hurricane-michael,wind,2017-11-29 16:28:19,-85.6420459944995,30.16239337505964,1,Unknown,pre,hurricane-michael_00000302_pre_disaster.json
1213,hurricane-harvey,flooding,2017-02-16 17:11:58,-95.65603567222762,29.75063373166597,1,Unknown,pre,hurricane-harvey_00000157_pre_disaster.json
1214,hurricane-florence,flooding,2018-09-20 16:04:41,-78.00370349211742,34.63290245137271,1,no-damage,post,hurricane-florence_00000336_post_disaster.json
1215,hurricane-florence,flooding,2018-04-06 15:49:36,-77.8693867541721,34.60407662100351,1,Unknown,pre,hurricane-florence_00000080_pre_disaster.json
1216,hurricane-harvey,flooding,2017-02-16 17:11:58,-95.55236880843016,29.76592669436605,1,Unknown,pre,hurricane-harvey_00000440_pre_disaster.json
1217,socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00000141_post_disaster.json
1218,hurricane-harvey,flooding,2017-02-16 17:11:58,-95.61211929358345,29.72096540896669,1,Unknown,pre,hurricane-harvey_00000374_pre_disaster.json
