disaster,disaster_type,date,lgt,lat,severity,highest_severity,moment,file
hurricane-michael,wind,2017-10-05 16:51:27,-85.70261418664957,30.18217531865316,1,Unknown,pre,hurricane-michael_00000465_pre_disaster.json
socal-fire,fire,2018-11-14 18:42:58,-118.7777277315468,34.03193742995786,1,no-damage,post,socal-fire_00001134_post_disaster.json
guatemala-volcano,volcano,2018-06-22 16:55:40,-90.83233705888856,14.43009193550166,11,destroyed,post,guatemala-volcano_00000019_post_disaster.json
socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00000533_post_disaster.json
midwest-flooding,flooding,2019-05-31 16:54:31,-92.37243724790855,34.78410206234931,1,no-damage,post,midwest-flooding_00000019_post_disaster.json
socal-fire,fire,2018-10-23 18:51:02,-118.7756164861825,34.14322562238362,1,Unknown,pre,socal-fire_00000566_pre_disaster.json
hurricane-florence,flooding,2018-09-20 16:04:41,,,1,Unknown,post,hurricane-florence_00000159_post_disaster.json
palu-tsunami,tsunami,2018-10-01 02:26:02,119.8015641713938,-0.7956776950109374,18,destroyed,post,palu-tsunami_00000108_post_disaster.json
socal-fire,fire,2018-10-23 18:51:02,,,1,Unknown,pre,socal-fire_00000858_pre_disaster.json
hurricane-michael,wind,2018-10-13 16:48:15,-85.64703498261503,30.16162932730375,23,major-damage,post,hurricane-michael_00000220_post_disaster.json
midwest-flooding,flooding,2019-01-26 17:16:23,-96.23314733337597,36.2069753136413,1,Unknown,pre,midwest-flooding_00000328_pre_disaster.json
palu-tsunami,tsunami,2018-10-01 02:26:02,119.8364089304501,-0.8839830956076707,29,destroyed,post,palu-tsunami_00000109_post_disaster.json
socal-fire,fire,2018-10-23 18:51:02,,,1,Unknown,pre,socal-fire_00001156_pre_disaster.json
palu-tsunami,tsunami,2017-01-24 02:18:34,119.8664000868196,-0.7840033113896899,1,Unknown,pre,palu-tsunami_00000043_pre_disaster.json
hurricane-harvey,flooding,2017-02-16 17:11:58,-95.61066302234927,29.51362415385591,1,Unknown,pre,hurricane-harvey_00000312_pre_disaster.json
midwest-flooding,flooding,2019-01-26 17:16:23,-96.37548356894,36.09081227446946,1,Unknown,pre,midwest-flooding_00000422_pre_disaster.json
socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00001287_post_disaster.json
socal-fire,fire,2018-10-23 18:51:21,-118.9377425245584,34.10525103987617,1,Unknown,pre,socal-fire_00000061_pre_disaster.json
socal-fire,fire,2018-11-14 18:42:58,-118.7164406068767,34.0478317328062,1,no-damage,post,socal-fire_00001325_post_disaster.json
mexico-earthquake,earthquake,2017-01-04 17:31:25,-99.14359976369973,19.25924429823148,1,Unknown,pre,mexico-earthquake_00000192_pre_disaster.json
socal-fire,fire,2018-10-23 18:50:43,,,1,Unknown,pre,socal-fire_00001391_pre_disaster.json
palu-tsunami,tsunami,2018-02-20 02:24:45,119.9013189414572,-0.938835177259446,1,Unknown,pre,palu-tsunami_00000178_pre_disaster.json
socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00000589_post_disaster.json
midwest-flooding,flooding,2019-01-26 17:16:23,-96.230077906805,36.2060378002121,1,Unknown,pre,midwest-flooding_00000331_pre_disaster.json
hurricane-florence,flooding,2018-09-20 16:04:41,-77.93453073492938,34.74704158038697,30,major-damage,post,hurricane-florence_00000494_post_disaster.json
hurricane-florence,flooding,2018-09-20 16:04:41,-77.89108603616408,34.61787972411586,1,no-damage,post,hurricane-florence_00000064_post_disaster.json
midwest-flooding,flooding,2019-01-26 17:16:23,-96.33819496572886,36.11715763088968,1,Unknown,pre,midwest-flooding_00000436_pre_disaster.json
midwest-flooding,flooding,2019-01-26 17:16:23,-96.21938998720054,36.38875089578141,1,Unknown,pre,midwest-flooding_00000076_pre_disaster.json
hurricane-florence,flooding,2018-09-20 16:04:41,-77.91165396617058,34.64430447527802,3,major-damage,post,hurricane-florence_00000313_post_disaster.json
socal-fire,fire,2018-10-23 18:51:02,-118.8655608947289,34.08423949725145,1,Unknown,pre,socal-fire_00000090_pre_disaster.json
socal-fire,fire,2018-11-14 18:42:58,-118.7992696275385,34.03610630280729,10,destroyed,post,socal-fire_00001312_post_disaster.json
midwest-flooding,flooding,2019-01-26 17:16:23,-96.23231531352928,36.23040016564942,1,Unknown,pre,midwest-flooding_00000236_pre_disaster.json
midwest-flooding,flooding,2019-01-26 17:17:36,-92.35783204755963,34.79055902568194,1,Unknown,pre,midwest-flooding_00000021_pre_disaster.json
socal-fire,fire,2018-10-23 18:51:02,-118.8912049314272,34.12826327319576,1,Unknown,pre,socal-fire_00000072_pre_disaster.json
socal-fire,fire,2018-10-23 18:50:43,-118.7359214014596,34.13913769985722,1,Unknown,pre,socal-fire_00001374_pre_disaster.json
socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00000851_post_disaster.json
hurricane-matthew,wind,2016-10-10 16:04:56,-74.09743444590609,18.57896201857402,13,destroyed,post,hurricane-matthew_00000271_post_disaster.json
midwest-flooding,flooding,2019-05-30 17:35:04,-96.34407865364808,36.11366385767669,2,minor-damage,post,midwest-flooding_00000406_post_disaster.json
socal-fire,fire,2018-10-23 18:51:02,-118.8665226673137,34.0388962617578,1,Unknown,pre,socal-fire_00000473_pre_disaster.json
socal-fire,fire,2018-11-14 18:42:58,-118.7831976498624,34.05332477526814,58,destroyed,post,socal-fire_00000805_post_disaster.json
hurricane-michael,wind,2017-11-29 16:28:19,-85.65546612403635,30.18285989409424,1,Unknown,pre,hurricane-michael_00000234_pre_disaster.json
santa-rosa-wildfire,fire,2017-06-21 19:09:01,-122.6985376013535,38.48370029432875,1,Unknown,pre,santa-rosa-wildfire_00000134_pre_disaster.json
hurricane-florence,flooding,2018-08-23 16:38:58,-79.05489222259646,33.62038906258787,1,Unknown,pre,hurricane-florence_00000001_pre_disaster.json
midwest-flooding,flooding,2019-01-26 17:16:23,-96.28507262786435,35.93089630447619,1,Unknown,pre,midwest-flooding_00000197_pre_disaster.json
mexico-earthquake,earthquake,2017-09-20 17:46:11,-99.20031663956873,19.33421656409439,1,no-damage,post,mexico-earthquake_00000024_post_disaster.json
hurricane-michael,wind,2018-10-13 16:48:15,-85.62188712915463,30.14235135886711,59,destroyed,post,hurricane-michael_00000120_post_disaster.json
hurricane-matthew,wind,2013-01-05 16:02:21,-73.73858507316278,18.21778618071588,1,Unknown,pre,hurricane-matthew_00000003_pre_disaster.json
socal-fire,fire,2018-10-23 18:51:02,,,1,Unknown,pre,socal-fire_00001025_pre_disaster.json
socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00000213_post_disaster.json
midwest-flooding,flooding,2019-01-26 17:16:23,-96.27651359572053,36.14296430350131,1,Unknown,pre,midwest-flooding_00000340_pre_disaster.json
hurricane-harvey,flooding,2017-02-16 17:11:58,-95.59934675005775,29.53129472001248,1,Unknown,pre,hurricane-harvey_00000323_pre_disaster.json
hurricane-florence,flooding,2018-09-20 16:04:41,-77.92943926391435,34.75106022251076,108,major-damage,post,hurricane-florence_00000459_post_disaster.json
hurricane-michael,wind,2018-10-13 16:48:15,-85.63312662613049,30.21117981647757,41,destroyed,post,hurricane-michael_00000200_post_disaster.json
socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00000835_post_disaster.json
santa-rosa-wildfire,fire,2017-05-21 19:19:19,-122.6795786541491,38.48549007746323,1,Unknown,pre,santa-rosa-wildfire_00000376_pre_disaster.json
socal-fire,fire,2018-10-23 18:51:02,-118.7873469456503,34.0257101233022,1,Unknown,pre,socal-fire_00001054_pre_disaster.json
hurricane-harvey,flooding,2017-08-31 17:38:50,-95.6250194716473,29.96581901844504,13,major-damage,post,hurricane-harvey_00000243_post_disaster.json
socal-fire,fire,2018-11-14 18:42:58,-118.781724664322,34.03104706636064,4,destroyed,post,socal-fire_00001121_post_disaster.json
mexico-earthquake,earthquake,2017-09-20 17:46:11,-99.19587826785717,19.33149442442418,2,minor-damage,post,mexico-earthquake_00000086_post_disaster.json
socal-fire,fire,2018-11-14 18:42:58,-118.7125996692499,34.16653491035525,1,no-damage,post,socal-fire_00001124_post_disaster.json
socal-fire,fire,2018-11-14 18:42:58,-118.8281244340289,34.0253987496878,1,no-damage,post,socal-fire_00000950_post_disaster.json
santa-rosa-wildfire,fire,2017-10-11 19:19:41,-122.7183616159907,38.53445798932525,7,destroyed,post,santa-rosa-wildfire_00000072_post_disaster.json
socal-fire,fire,2018-10-23 18:51:02,-118.7825919702206,34.03641616521779,1,Unknown,pre,socal-fire_00001353_pre_disaster.json
mexico-earthquake,earthquake,2017-09-20 17:46:11,-99.17635048559328,19.25085477482292,1,no-damage,post,mexico-earthquake_00000182_post_disaster.json
socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00000478_post_disaster.json
socal-fire,fire,2018-11-14 18:42:58,-118.8942592478689,34.0745490343978,13,destroyed,post,socal-fire_00000389_post_disaster.json
socal-fire,fire,2018-11-14 18:42:58,-118.8503072507319,34.12706041054773,1,no-damage,post,socal-fire_00000014_post_disaster.json
hurricane-matthew,wind,2013-01-05 16:02:21,-73.7481970489302,18.19546569592746,1,Unknown,pre,hurricane-matthew_00000158_pre_disaster.json
hurricane-harvey,flooding,2017-02-16 17:11:58,-95.63581809504845,29.78321676994672,1,Unknown,pre,hurricane-harvey_00000156_pre_disaster.json
socal-fire,fire,2018-10-23 18:51:02,-118.8037300277305,34.08857124709104,1,Unknown,pre,socal-fire_00000904_pre_disaster.json
hurricane-florence,flooding,2018-09-20 16:04:41,-77.85808893156381,34.59244503907404,3,major-damage,post,hurricane-florence_00000163_post_disaster.json
socal-fire,fire,2018-11-14 18:42:58,-118.8657411308459,34.12596287937475,1,no-damage,post,socal-fire_00000003_post_disaster.json
socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00000536_post_disaster.json
santa-rosa-wildfire,fire,2017-06-21 19:09:01,-122.7811811789118,38.53892651419428,1,Unknown,pre,santa-rosa-wildfire_00000168_pre_disaster.json
midwest-flooding,flooding,2019-01-26 17:16:23,-96.32235594151993,36.20525062826645,1,Unknown,pre,midwest-flooding_00000289_pre_disaster.json
hurricane-florence,flooding,2018-04-06 15:49:36,-77.9325456958173,34.78029423607939,1,Unknown,pre,hurricane-florence_00000424_pre_disaster.json
hurricane-matthew,wind,2013-01-05 16:02:21,-73.75814040820241,18.1981018278769,1,Unknown,pre,hurricane-matthew_00000092_pre_disaster.json
hurricane-harvey,flooding,2017-02-16 17:11:58,-95.65360799038498,29.88569611390546,1,Unknown,pre,hurricane-harvey_00000233_pre_disaster.json
socal-fire,fire,2018-10-23 18:51:02,,,1,Unknown,pre,socal-fire_00000787_pre_disaster.json
socal-fire,fire,2018-10-23 18:51:02,-118.7446989957219,34.06199234205002,1,Unknown,pre,socal-fire_00000960_pre_disaster.json
hurricane-michael,wind,2017-11-29 16:28:19,-85.66561167490636,30.20067943612312,1,Unknown,pre,hurricane-michael_00000125_pre_disaster.json
hurricane-michael,wind,2017-11-29 16:28:19,-85.63656029638346,30.14132739429434,1,Unknown,pre,hurricane-michael_00000101_pre_disaster.json
hurricane-michael,wind,2017-11-29 16:28:19,-85.64818087112427,30.26770476173954,1,Unknown,pre,hurricane-michael_00000387_pre_disaster.json
hurricane-harvey,flooding,2017-08-31 17:38:50,-95.53877602523558,29.78336587605638,1,no-damage,post,hurricane-harvey_00000448_post_disaster.json
hurricane-michael,wind,2018-10-13 16:48:15,-85.6391520788614,30.19106732782433,7,major-damage,post,hurricane-michael_00000047_post_disaster.json
mexico-earthquake,earthquake,2017-06-15 17:16:42,-99.21238838836395,19.33872917307782,1,Unknown,pre,mexico-earthquake_00000154_pre_disaster.json
socal-fire,fire,2018-10-23 18:51:02,,,1,Unknown,pre,socal-fire_00000306_pre_disaster.json
midwest-flooding,flooding,2019-05-30 17:35:04,-96.35023473523522,36.1244466137003,10,destroyed,post,midwest-flooding_00000276_post_disaster.json
socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00000725_post_disaster.json
hurricane-matthew,wind,2013-06-09 15:51:17,,,1,Unknown,pre,hurricane-matthew_00000402_pre_disaster.json
hurricane-harvey,flooding,2017-08-31 17:38:50,-95.52255420346056,29.7438892584558,62,destroyed,post,hurricane-harvey_00000486_post_disaster.json
hurricane-matthew,wind,2013-06-09 15:51:17,-74.1429922670956,18.59218721514454,1,Unknown,pre,hurricane-matthew_00000182_pre_disaster.json
hurricane-michael,wind,2017-11-29 16:28:19,-85.61206241283186,30.30926719918112,1,Unknown,pre,hurricane-michael_00000367_pre_disaster.json
hurricane-florence,flooding,2018-04-06 15:49:36,-77.83779772944928,34.61133253242953,1,Unknown,pre,hurricane-florence_00000180_pre_disaster.json
hurricane-harvey,flooding,2017-08-31 17:38:50,-95.43060126562725,29.73490185380586,1,un-classified,post,hurricane-harvey_00000012_post_disaster.json
palu-tsunami,tsunami,2017-01-24 02:18:34,119.8265393440852,-0.8782489864518197,1,Unknown,pre,palu-tsunami_00000040_pre_disaster.json
midwest-flooding,flooding,2019-05-30 17:35:04,-96.26524870359017,36.21971999124628,11,major-damage,post,midwest-flooding_00000235_post_disaster.json
hurricane-matthew,wind,2016-10-01 15:29:45,-73.76949857120124,18.19382706909505,22,destroyed,post,hurricane-matthew_00000134_post_disaster.json
hurricane-matthew,wind,2013-06-09 15:51:17,-74.12025355866034,18.56324545982946,1,Unknown,pre,hurricane-matthew_00000281_pre_disaster.json
hurricane-matthew,wind,2013-06-09 15:51:17,-74.09695635349729,18.27996650061842,1,Unknown,pre,hurricane-matthew_00000384_pre_disaster.json
midwest-flooding,flooding,2019-01-26 17:16:23,-96.38507071652303,36.11036064914619,1,Unknown,pre,midwest-flooding_00000423_pre_disaster.json
socal-fire,fire,2018-11-14 18:42:58,-118.8925564634295,34.14734144575002,1,no-damage,post,socal-fire_00000144_post_disaster.json
socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00000791_post_disaster.json
hurricane-florence,flooding,2018-04-06 15:49:36,-77.90764031917335,34.81036474233253,1,Unknown,pre,hurricane-florence_00000538_pre_disaster.json
palu-tsunami,tsunami,2017-01-24 02:18:34,119.8774863973012,-0.808245094424456,1,Unknown,pre,palu-tsunami_00000051_pre_disaster.json
hurricane-harvey,flooding,2017-08-31 17:38:50,-95.56000112686854,29.49383768769179,9,major-damage,post,hurricane-harvey_00000241_post_disaster.json
hurricane-harvey,flooding,2017-02-16 17:11:58,-95.51989742707109,30.00680498509568,1,Unknown,pre,hurricane-harvey_00000511_pre_disaster.json
hurricane-florence,flooding,2018-09-20 16:04:41,-77.92108014038675,34.77645986154069,31,major-damage,post,hurricane-florence_00000481_post_disaster.json
socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00001319_post_disaster.json
socal-fire,fire,2018-10-23 18:51:02,,,1,Unknown,pre,socal-fire_00000171_pre_disaster.json
hurricane-florence,flooding,2018-09-20 16:04:41,-77.84411648879934,34.7929656101286,3,major-damage,post,hurricane-florence_00000503_post_disaster.json
midwest-flooding,flooding,2019-01-26 17:16:23,-96.38546036453003,36.09393091931755,1,Unknown,pre,midwest-flooding_00000416_pre_disaster.json
socal-fire,fire,2018-10-23 18:51:02,-118.7863299963201,34.09025052291994,1,Unknown,pre,socal-fire_00000697_pre_disaster.json
hurricane-florence,flooding,2018-09-20 16:04:41,,,1,Unknown,post,hurricane-florence_00000218_post_disaster.json
hurricane-florence,flooding,2018-04-06 15:49:36,-77.92485387561563,34.76757801678425,1,Unknown,pre,hurricane-florence_00000420_pre_disaster.json
midwest-flooding,flooding,2019-05-30 17:35:22,-96.22624611053351,36.16836606717571,2,minor-damage,post,midwest-flooding_00000352_post_disaster.json
hurricane-matthew,wind,2013-06-09 15:51:17,-74.14304443204495,18.64151118807083,1,Unknown,pre,hurricane-matthew_00000321_pre_disaster.json
socal-fire,fire,2018-10-23 18:50:43,,,1,Unknown,pre,socal-fire_00001308_pre_disaster.json
mexico-earthquake,earthquake,2017-09-20 17:46:11,-99.2043279410247,19.33148514676436,1,no-damage,post,mexico-earthquake_00000079_post_disaster.json
socal-fire,fire,2018-11-14 18:42:58,-118.8905545651509,34.12326800232428,1,no-damage,post,socal-fire_00000337_post_disaster.json
socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00000534_post_disaster.json
mexico-earthquake,earthquake,2017-01-04 17:31:25,-99.22380209012526,19.25139910336804,1,Unknown,pre,mexico-earthquake_00000148_pre_disaster.json
socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00001348_post_disaster.json
hurricane-florence,flooding,2018-09-20 16:04:41,-77.8710948280667,34.61594948000186,3,major-damage,post,hurricane-florence_00000101_post_disaster.json
palu-tsunami,tsunami,2017-01-24 02:18:34,,,1,Unknown,pre,palu-tsunami_00000049_pre_disaster.json
hurricane-harvey,flooding,2017-02-16 17:11:58,-95.61209029239811,29.51422960595125,1,Unknown,pre,hurricane-harvey_00000261_pre_disaster.json
socal-fire,fire,2018-11-14 18:42:58,-118.8504434810934,34.03396810321077,1,no-damage,post,socal-fire_00000496_post_disaster.json
hurricane-harvey,flooding,2017-08-31 17:38:50,-95.62254435036087,29.4984199798906,24,destroyed,post,hurricane-harvey_00000244_post_disaster.json
palu-tsunami,tsunami,2018-10-01 02:26:02,119.8269226257409,-0.855316292924383,41,destroyed,post,palu-tsunami_00000083_post_disaster.json
palu-tsunami,tsunami,2018-10-01 02:26:02,119.826539344009,-0.8782489864514738,7,destroyed,post,palu-tsunami_00000040_post_disaster.json
midwest-flooding,flooding,2019-05-31 16:54:31,-92.31863269729506,34.79726393186569,3,major-damage,post,midwest-flooding_00000038_post_disaster.json
socal-fire,fire,2018-11-14 18:42:58,-118.7825919702236,34.03641616521634,1,no-damage,post,socal-fire_00001353_post_disaster.json
palu-tsunami,tsunami,2018-10-01 02:26:02,119.8829126864572,-0.8231376310628414,129,destroyed,post,palu-tsunami_00000166_post_disaster.json
socal-fire,fire,2018-11-14 18:42:58,-118.7857859275043,34.11852522771846,13,destroyed,post,socal-fire_00000661_post_disaster.json
hurricane-florence,flooding,2018-04-06 15:49:36,-78.00291592275491,34.71965013687829,1,Unknown,pre,hurricane-florence_00000361_pre_disaster.json
hurricane-harvey,flooding,2017-02-16 17:11:58,,,1,Unknown,pre,hurricane-harvey_00000217_pre_disaster.json
socal-fire,fire,2018-11-14 18:42:58,-118.8404527292903,34.13988893159167,1,no-damage,post,socal-fire_00000226_post_disaster.json
santa-rosa-wildfire,fire,2017-10-11 19:19:41,-122.6690636118041,38.54627100527883,16,destroyed,post,santa-rosa-wildfire_00000253_post_disaster.json
socal-fire,fire,2018-10-23 18:50:43,-118.7208986966232,34.11799531214375,1,Unknown,pre,socal-fire_00001118_pre_disaster.json
hurricane-matthew,wind,2013-06-09 15:50:52,-73.55163922184842,18.27170984360457,1,Unknown,pre,hurricane-matthew_00000295_pre_disaster.json
hurricane-michael,wind,2018-10-13 16:48:15,-85.6810376454596,30.17447736009077,24,major-damage,post,hurricane-michael_00000404_post_disaster.json
socal-fire,fire,2018-10-23 18:50:43,,,1,Unknown,pre,socal-fire_00001363_pre_disaster.json
midwest-flooding,flooding,2019-05-31 16:54:31,-92.34732293419374,34.79924187395488,2,minor-damage,post,midwest-flooding_00000030_post_disaster.json
socal-fire,fire,2018-10-23 18:50:43,,,1,Unknown,pre,socal-fire_00001343_pre_disaster.json
hurricane-matthew,wind,2016-10-11 15:59:14,-74.14963655139219,18.63982048677691,1,un-classified,post,hurricane-matthew_00000250_post_disaster.json
hurricane-harvey,flooding,2017-02-16 17:11:58,-95.66909687160863,29.81431986917192,1,Unknown,pre,hurricane-harvey_00000136_pre_disaster.json
santa-rosa-wildfire,fire,2017-06-21 19:09:01,-122.756971187649,38.47545561970534,1,Unknown,pre,santa-rosa-wildfire_00000058_pre_disaster.json
hurricane-michael,wind,2017-11-29 16:28:19,-85.66958927604914,30.17177228912277,1,Unknown,pre,hurricane-michael_00000269_pre_disaster.json
socal-fire,fire,2018-11-14 18:42:58,-118.7547692903174,34.10226224802624,94,destroyed,post,socal-fire_00000817_post_disaster.json
hurricane-michael,wind,2017-11-29 16:28:19,-85.63484131672492,30.16421091489505,1,Unknown,pre,hurricane-michael_00000304_pre_disaster.json
hurricane-michael,wind,2017-11-29 16:28:19,-85.64221702917247,30.13548286571076,1,Unknown,pre,hurricane-michael_00000016_pre_disaster.json
socal-fire,fire,2018-10-23 18:51:02,-118.822828928245,34.08911284739625,1,Unknown,pre,socal-fire_00001078_pre_disaster.json
hurricane-matthew,wind,2013-01-05 16:02:21,-73.77481327501995,18.19670032911257,1,Unknown,pre,hurricane-matthew_00000070_pre_disaster.json
socal-fire,fire,2018-10-23 18:51:02,-118.7489138000893,34.15231351936003,1,Unknown,pre,socal-fire_00000634_pre_disaster.json
midwest-flooding,flooding,2019-05-31 16:54:31,-92.32155677055817,34.7248418107874,1,no-damage,post,midwest-flooding_00000061_post_disaster.json
santa-rosa-wildfire,fire,2017-06-21 19:09:01,-122.7363784943282,38.51633705021786,1,Unknown,pre,santa-rosa-wildfire_00000137_pre_disaster.json
socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00000921_post_disaster.json
hurricane-florence,flooding,2018-04-06 15:49:36,-77.93994810246626,34.77140221732576,1,Unknown,pre,hurricane-florence_00000467_pre_disaster.json
mexico-earthquake,earthquake,2017-09-20 17:46:11,-99.19431486365718,19.28668533305398,1,no-damage,post,mexico-earthquake_00000122_post_disaster.json
hurricane-michael,wind,2018-10-13 16:48:15,-85.619007097535,30.08234985255154,6,destroyed,post,hurricane-michael_00000004_post_disaster.json
guatemala-volcano,volcano,2018-02-05 17:10:18,-90.83233705888077,14.43009193550256,1,Unknown,pre,guatemala-volcano_00000019_pre_disaster.json
socal-fire,fire,2018-10-23 18:51:02,-118.8119113378093,34.02860549100865,1,Unknown,pre,socal-fire_00001261_pre_disaster.json
hurricane-harvey,flooding,2017-08-31 17:39:25,-95.35644824091804,30.03229687821986,51,major-damage,post,hurricane-harvey_00000081_post_disaster.json
santa-rosa-wildfire,fire,2017-10-11 19:19:41,-122.7608136109197,38.41883350650389,1,no-damage,post,santa-rosa-wildfire_00000153_post_disaster.json
socal-fire,fire,2018-11-14 18:42:58,-118.8912894363879,34.08657534880705,13,destroyed,post,socal-fire_00000265_post_disaster.json
midwest-flooding,flooding,2019-05-30 17:35:04,-96.27473703807784,36.22084125295498,6,major-damage,post,midwest-flooding_00000206_post_disaster.json
socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00000438_post_disaster.json
hurricane-matthew,wind,2016-10-10 16:04:56,-74.11044606977154,18.5789327785857,52,destroyed,post,hurricane-matthew_00000185_post_disaster.json
socal-fire,fire,2018-10-23 18:50:43,-118.7389818599822,34.04657683387427,1,Unknown,pre,socal-fire_00001382_pre_disaster.json
socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00000647_post_disaster.json
socal-fire,fire,2018-10-23 18:50:43,,,1,Unknown,pre,socal-fire_00001198_pre_disaster.json
socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00000400_post_disaster.json
hurricane-michael,wind,2018-10-13 16:48:15,-85.62231942867838,30.16501694612082,84,destroyed,post,hurricane-michael_00000315_post_disaster.json
hurricane-harvey,flooding,2017-08-31 17:38:50,-95.64346168320387,29.74024756918056,4,minor-damage,post,hurricane-harvey_00000206_post_disaster.json
socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00000403_post_disaster.json
hurricane-harvey,flooding,2017-08-31 17:38:50,-95.59173881036801,29.76523107355413,190,destroyed,post,hurricane-harvey_00000406_post_disaster.json
socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00001180_post_disaster.json
midwest-flooding,flooding,2019-01-26 17:16:23,-96.31474786714064,36.09479374863325,1,Unknown,pre,midwest-flooding_00000376_pre_disaster.json
socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00000278_post_disaster.json
mexico-earthquake,earthquake,2017-09-20 17:46:11,-99.21454229807347,19.25052409759413,1,no-damage,post,mexico-earthquake_00000172_post_disaster.json
hurricane-florence,flooding,2018-04-06 15:49:36,-77.94990717536538,34.63689734063691,1,Unknown,pre,hurricane-florence_00000275_pre_disaster.json
hurricane-matthew,wind,2013-06-09 15:51:17,-74.09729785158112,18.27265541361032,1,Unknown,pre,hurricane-matthew_00000401_pre_disaster.json
palu-tsunami,tsunami,2018-02-20 02:24:45,119.9240170149299,-0.9411613923404631,1,Unknown,pre,palu-tsunami_00000183_pre_disaster.json
socal-fire,fire,2018-10-23 18:50:43,,,1,Unknown,pre,socal-fire_00001348_pre_disaster.json
hurricane-matthew,wind,2016-10-11 15:59:14,-74.12091762525135,18.65319089509343,457,destroyed,post,hurricane-matthew_00000368_post_disaster.json
hurricane-michael,wind,2017-11-29 16:28:19,-85.63321639123201,30.2183608475259,1,Unknown,pre,hurricane-michael_00000210_pre_disaster.json
hurricane-michael,wind,2018-10-13 16:48:15,-85.65739459744206,30.20883859439995,59,destroyed,post,hurricane-michael_00000043_post_disaster.json
socal-fire,fire,2018-10-23 18:51:02,-118.8712506184324,34.05629791180027,1,Unknown,pre,socal-fire_00000516_pre_disaster.json
santa-rosa-wildfire,fire,2017-10-11 19:19:41,-122.778103693661,38.5303865798415,1,no-damage,post,santa-rosa-wildfire_00000106_post_disaster.json
socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00000624_post_disaster.json
hurricane-harvey,flooding,2017-02-16 17:11:58,-95.60771173637367,29.5094157593756,1,Unknown,pre,hurricane-harvey_00000258_pre_disaster.json
santa-rosa-wildfire,fire,2017-10-11 19:19:41,-122.6736366468318,38.4987657757455,16,destroyed,post,santa-rosa-wildfire_00000275_post_disaster.json
hurricane-harvey,flooding,2017-08-31 17:38:50,-95.6337194406252,29.73595106086036,1,no-damage,post,hurricane-harvey_00000172_post_disaster.json
hurricane-florence,flooding,2018-04-06 15:49:36,-77.88494074218582,34.78943805799411,1,Unknown,pre,hurricane-florence_00000395_pre_disaster.json
hurricane-michael,wind,2018-10-13 16:48:15,-85.76201044770049,30.19617389663672,14,minor-damage,post,hurricane-michael_00000492_post_disaster.json
socal-fire,fire,2018-10-23 18:50:43,,,1,Unknown,pre,socal-fire_00001297_pre_disaster.json
socal-fire,fire,2018-11-14 18:42:58,-118.8870822957567,34.07449096429288,19,destroyed,post,socal-fire_00000399_post_disaster.json
mexico-earthquake,earthquake,2017-01-04 17:31:25,-99.17083738727096,19.24804523775458,1,Unknown,pre,mexico-earthquake_00000184_pre_disaster.json
mexico-earthquake,earthquake,2017-09-20 17:46:11,-99.20167672231656,19.4104246594622,1,no-damage,post,mexico-earthquake_00000031_post_disaster.json
socal-fire,fire,2018-11-14 18:42:58,,,1,Unknown,post,socal-fire_00001381_post_disaster.json
palu-tsunami,tsunami,2018-10-01 02:26:02,119.8773157239165,-0.8026280237960278,160,destroyed,post,palu-tsunami_00000026_post_disaster.json
hurricane-florence,flooding,2018-04-06 15:49:36,-77.85808893152495,34.59244503909989,1,Unknown,pre,hurricane-florence_00000163_pre_disaster.json
santa-rosa-wildfire,fire,2017-06-21 19:09:01,-122.7200506130662,38.41761027427813,1,Unknown,pre,santa-rosa-wildfire_00000173_pre_disaster.json
hurricane-michael,wind,2018-10-13 16:48:15,-85.68364696103356,30.22472451800568,6,major-damage,post,hurricane-michael_00000389_post_disaster.json
socal-fire,fire,2018-11-14 18:42:58,-118.8029916175259,34.02575950994357,25,destroyed,post,socal-fire_00001020_post_disaster.json
